,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
1748,Intel Xeon W3565,CPU,11/1/2009,45,130,263,731,3200,Intel,Intel,,,
1749,Intel Pentium E6300,CPU,5/9/2009,45,65,82,228,2800,Intel,Intel,,,
1750,Intel Core i3-10105T,CPU,3/16/2021,14,35,,,3000,Intel,Intel,,,
1751,AMD Athlon XP 1900+,CPU,1/1/2001,130,53,80,37,1600,Unknown,AMD,,,
1752,AMD A4-1200,CPU,5/23/2013,32,4,246,1178,1000,Unknown,AMD,,,
1753,Intel Xeon 2.4,CPU,4/23/2002,130,89,217,55,2394,Intel,Intel,,,
1754,AMD Opteron 242,CPU,8/5/2003,130,82,193,106,1600,Unknown,AMD,,,
1755,Intel Celeron D 335,CPU,6/24/2004,90,84,109,125,2800,Intel,Intel,,,
1756,Intel Xeon E3-1280 v2,CPU,5/14/2012,22,69,160,1400,3600,Intel,Intel,,,
1757,Intel Core i7-2860QM,CPU,9/4/2011,32,45,216,1160,2500,Intel,Intel,,,
1758,Intel Xeon E5-2687W v2,CPU,9/1/2013,22,130,160,1400,3400,Intel,Intel,,,
1759,Intel Core i7-10870H,CPU,9/17/2020,14,45,,,2200,Intel,Intel,,,
1760,AMD Athlon 220GE,CPU,12/21/2018,14,35,192,4800,3400,Unknown,AMD,,,
1761,Intel Atom Z610,CPU,5/4/2010,45,1,65,140,800,Intel,Intel,,,
1762,Intel Celeron 847,CPU,6/19/2011,32,17,131,504,1100,Intel,Intel,,,
1763,Intel Xeon X5680,CPU,2/14/2010,32,130,239,1170,3333,Intel,Intel,,,
1764,Intel Celeron D 352,CPU,5/28/2006,65,84,109,125,3200,Intel,Intel,,,
1765,Intel Core M-5Y51,CPU,10/27/2014,14,5,50,,1100,Intel,Intel,,,
1766,Intel Celeron 450,CPU,8/31/2008,65,35,77,105,2200,Intel,Intel,,,
1767,AMD EPYC 7443,CPU,3/15/2021,7,200,,,2850,TSMC,AMD,,,
1768,AMD Athlon XP 3000+,CPU,1/1/2001,130,68,101,63,2167,Unknown,AMD,,,
1769,Intel Core i5-8400T,CPU,4/2/2018,14,35,,,1700,Intel,Intel,,,
1770,Intel Celeron N2830,CPU,2/23/2014,22,7,,,2160,Intel,Intel,,,
1771,AMD Opteron 3320 EE,CPU,12/4/2012,32,25,315,1200,1900,Unknown,AMD,,,
1772,AMD C-30,CPU,1/4/2011,40,9,75,,1200,Unknown,AMD,,,
1773,AMD Ryzen 7 4800HS,CPU,1/6/2020,7,35,156,9800,2900,TSMC,AMD,,,
1774,AMD Turion 64 ML-44,CPU,1/4/2006,90,35,125,114,2400,Unknown,AMD,,,
1775,Intel Celeron B710,CPU,6/19/2011,32,35,131,504,1600,Intel,Intel,,,
1776,Intel Core i5-10400F,CPU,4/30/2020,14,65,,,2900,Intel,Intel,,,
1777,AMD Opteron X2 880,CPU,9/26/2005,90,95,,233,2400,Unknown,AMD,,,
1778,Intel Core i7-4950HQ,CPU,6/7/2013,22,47,264,1400,2400,Intel,Intel,,,
1779,Intel Core i3-1120G4,CPU,9/2/2020,10,15,,,1100,Intel,Intel,,,
1780,Intel Pentium SU2700,CPU,6/2/2009,45,10,107,410,1300,Intel,Intel,,,
1781,Intel Pentium D 820,CPU,5/26/2005,90,130,206,169,2800,Intel,Intel,,,
1782,Intel Atom E640T,CPU,9/14/2010,45,3,26,47,1000,Intel,Intel,,,
1783,Intel Xeon 5160,CPU,6/26/2006,65,80,,,3000,Intel,Intel,,,
1784,AMD Opteron 848 HE,CPU,3/1/2005,90,55,,106,2200,Unknown,AMD,,,
1785,Intel Core i3-2312M,CPU,9/1/2011,32,35,149,624,2100,Intel,Intel,,,
1786,AMD Opteron 152,CPU,8/2/2005,90,104,,106,2600,Unknown,AMD,,,
1787,AMD Athlon XP 2000+,CPU,6/10/2002,130,60,80,37,1667,Unknown,AMD,,,
1788,AMD Opteron X2170,CPU,9/1/2016,28,25,,,2400,Unknown,AMD,,,
1789,AMD Opteron X2 860 HE,CPU,8/1/2005,90,55,,233,1600,Unknown,AMD,,,
1790,AMD Phenom II X2 560 BE,CPU,9/21/2010,45,80,258,758,3300,Unknown,AMD,,,
1791,Intel Pentium P6000,CPU,6/20/2010,32,35,81,384,1877,Intel,Intel,,,
1792,Intel Atom 330,CPU,6/3/2008,45,8,96,47,1600,Intel,Intel,,,
1793,Intel Pentium 4 505,CPU,12/1/2004,90,84,109,125,2660,Intel,Intel,,,
1794,Intel Celeron N2940,CPU,5/22/2014,22,7,,,1830,Intel,Intel,,,
1795,Intel Pentium 2020M,CPU,9/1/2012,22,35,118,1400,2400,Intel,Intel,,,
1796,AMD FX-6300,CPU,10/23/2012,32,95,315,1200,3500,Unknown,AMD,,,
1797,AMD Athlon II X2 280,CPU,2/6/2013,45,65,117,410,3600,Unknown,AMD,,,
1798,AMD Opteron 6366 HE,CPU,11/5/2012,32,85,315,2400,1800,Unknown,AMD,,,
1799,Intel Pentium III 1133,CPU,7/1/2001,130,29,80,44,1133,Intel,Intel,,,
1800,Intel Pentium D 920,CPU,1/16/2006,65,130,140,376,2800,Intel,Intel,,,
1801,Intel Pentium 4 HT EE 3.73,CPU,2/21/2005,90,115,109,169,3733,Intel,Intel,,,
1802,Intel Atom Z615,CPU,5/4/2010,45,2,65,140,1600,Intel,Intel,,,
1803,AMD Opteron A1120,CPU,1/14/2016,28,25,,,1700,Unknown,AMD,,,
1804,AMD Athlon 64 3200+,CPU,2/20/2007,65,45,77,122,2000,Unknown,AMD,,,
1805,Intel Xeon Platinum 8268,CPU,12/11/2018,14,205,,8000,2900,Intel,Intel,,,
1806,Intel Core i5-5350U,CPU,3/1/2015,14,15,,,1800,Intel,Intel,,,
1807,Intel Xeon Gold 5318H,CPU,4/6/2021,14,150,,,2500,Intel,Intel,,,
1808,Intel Xeon E5530,CPU,3/30/2009,45,80,263,731,2400,Intel,Intel,,,
1809,Intel Core 2 Extreme QX9770,CPU,3/24/2008,45,136,107,820,3200,Intel,Intel,,,
1810,AMD Opteron 840 EE,CPU,5/18/2004,130,30,193,106,1400,Unknown,AMD,,,
1811,Intel Atom E660T,CPU,9/14/2010,45,3,26,47,1300,Intel,Intel,,,
1812,AMD A8-3520M,CPU,12/20/2011,32,35,228,1178,1600,Unknown,AMD,,,
1813,Intel Core i5-8259U,CPU,4/5/2018,14,28,123,,2300,Intel,Intel,,,
1814,AMD Athlon X2 QL-64,CPU,12/1/2008,65,35,,,2100,Unknown,AMD,,,
1815,Intel Core i7-620M,CPU,1/7/2010,32,35,81,384,2677,Intel,Intel,,,
1816,AMD Athlon 64 X2 5600+,CPU,2/1/2008,65,65,126,154,2900,Unknown,AMD,,,
1817,Intel Core i9-11900,CPU,3/16/2021,14,65,,,2500,Intel,Intel,,,
1818,AMD Sempron 2800+,CPU,1/1/2001,130,62,101,63,2000,Unknown,AMD,,,
1819,Intel Core i5-3365M,CPU,11/1/2012,22,35,160,,2800,Intel,Intel,,,
1820,AMD Phenom II X3 720 BE,CPU,2/9/2009,45,95,258,758,2800,Unknown,AMD,,,
1821,AMD EPYC 7252,CPU,8/7/2019,7,120,74,3800,2800,TSMC,AMD,,,
1822,AMD Athlon X2 BE-2300,CPU,10/8/2007,65,45,126,154,1900,Unknown,AMD,,,
1823,Intel Core i7-4771,CPU,9/1/2013,22,84,177,1400,3500,Intel,Intel,,,
1824,Intel Pentium D 955 EE,CPU,1/16/2006,65,130,140,376,3460,Intel,Intel,,,
1825,Intel Core i7-4712HQ,CPU,4/1/2014,22,37,264,1400,2300,Intel,Intel,,,
1826,AMD Sempron 3000+,CPU,2/15/2005,130,62,144,69,1800,Unknown,AMD,,,
1827,Intel Xeon 3.0,CPU,2/14/2005,90,135,169,178,3000,Intel,Intel,,,
1828,Intel Core i5-2430M,CPU,10/1/2011,32,35,149,624,2400,Intel,Intel,,,
1829,Intel Xeon Gold 5320H,CPU,4/6/2021,14,150,,,2400,Intel,Intel,,,
1830,AMD Athlon 64 X2 5400+,CPU,1/1/2008,65,65,126,154,2800,Unknown,AMD,,,
1831,AMD A6-4400M,CPU,5/15/2012,32,35,246,1178,2700,Unknown,AMD,,,
1832,AMD Ryzen 5 4600G,CPU,7/21/2020,7,65,,,3700,TSMC,AMD,,,
1833,Intel Xeon Gold 6354,CPU,4/6/2021,10,205,,,3000,Intel,Intel,,,
1834,AMD Ryzen 7 PRO 2700U,CPU,10/26/2017,14,15,246,,2200,GF,AMD,,,
1835,Intel Xeon Platinum 8380HL,CPU,4/6/2021,14,250,,,2900,Intel,Intel,,,
1836,AMD Athlon 64 X2 5000+ BE,CPU,9/25/2007,65,65,126,154,2600,Unknown,AMD,,,
1837,AMD E1-2500,CPU,5/23/2013,32,15,246,1178,1400,Unknown,AMD,,,
1838,AMD Opteron X2 890,CPU,3/6/2006,90,95,,233,2800,Unknown,AMD,,,
1839,Intel Core i3-2330M,CPU,6/1/2011,32,35,149,624,2200,Intel,Intel,,,
1840,Intel Core 2 Duo E6850,CPU,7/1/2007,65,75,143,291,3000,Intel,Intel,,,
1841,AMD A8-3870K,CPU,12/20/2011,32,100,228,1178,3000,Unknown,AMD,,,
1842,AMD Sempron 2800+,CPU,7/28/2004,130,62,80,37,1992,Unknown,AMD,,,
1843,Intel Core i7-8670,CPU,1/1/2018,14,65,,,3100,Intel,Intel,,,
1844,AMD Ryzen 5 1600X,CPU,4/11/2017,14,95,192,4800,3600,GF,AMD,,,
1845,Intel Pentium 4 HT 515,CPU,1/1/2001,90,84,109,125,2933,Intel,Intel,,,
1846,Intel Pentium Gold G5600,CPU,4/2/2018,14,51,,,3900,Intel,Intel,,,
1847,Intel Aubrey Isle,CPU,5/31/2010,45,300,684,2300,1200,Intel,Intel,,,
1848,AMD Athlon 64 2000+,CPU,6/1/2008,65,8,77,122,1000,Unknown,AMD,,,
1849,Intel Core i5-580M,CPU,9/26/2010,32,35,81,382,2667,Intel,Intel,,,
1850,AMD Athlon 64 3200+,CPU,4/27/2004,130,89,144,69,2200,Unknown,AMD,,,
1851,Intel Core i3-6320,CPU,9/1/2015,14,51,150,1400,3900,Intel,Intel,,,
1852,Intel Core 2 Duo T7700,CPU,5/27/2007,65,35,143,293,2400,Intel,Intel,,,
1853,AMD A8-3820,CPU,12/20/2011,32,65,228,1178,2500,Unknown,AMD,,,
1854,Intel Core 2 Duo T7200,CPU,7/27/2006,65,35,143,293,2000,Intel,Intel,,,
1855,Intel Core i3-1110G4,CPU,9/2/2020,10,15,,,1800,Intel,Intel,,,
1856,Intel Mobile Pentium 4 3.06,CPU,6/11/2003,130,70,131,55,3067,Intel,Intel,,,
1857,AMD Ryzen 7 4800H,CPU,1/6/2020,7,54,156,9800,2900,TSMC,AMD,,,
1858,AMD Ryzen 5 2500X,CPU,10/1/2018,12,65,192,4800,3600,GF,AMD,,,
1859,Intel Pentium 4 2.2,CPU,1/7/2002,130,92,146,55,2200,Intel,Intel,,,
1860,Intel Celeron E1500,CPU,11/30/2008,65,65,77,105,2200,Intel,Intel,,,
1861,Intel Pentium G620,CPU,5/22/2011,32,65,131,504,2600,Intel,Intel,,,
1862,AMD Phenom X4 9850B,CPU,8/15/2008,65,95,285,450,2500,Unknown,AMD,,,
1863,Intel Pentium 4 2.0,CPU,8/27/2001,180,72,217,42,2000,Intel,Intel,,,
1864,Intel Core i7-9800X,CPU,10/19/2018,14,165,,,3800,Intel,Intel,,,
1865,AMD Athlon 64 X2 4400+,CPU,12/5/2006,65,65,126,154,2300,Unknown,AMD,,,
1866,Intel Celeron E1600,CPU,5/31/2009,65,65,77,105,2400,Intel,Intel,,,
1867,AMD Phenom X3 8650,CPU,4/23/2008,65,95,285,450,2300,Unknown,AMD,,,
1868,AMD Opteron 246,CPU,8/5/2003,130,89,193,106,2000,Unknown,AMD,,,
1869,AMD Athlon Silver 3050GE,CPU,7/21/2020,12,35,,,3400,GF,AMD,,,
1870,Intel Pentium Gold G5400,CPU,4/2/2018,14,51,,,3700,Intel,Intel,,,
1871,Intel Core i5-10400H,CPU,4/2/2020,14,45,,,2600,Intel,Intel,,,
1872,AMD Athlon II X4 645,CPU,9/21/2010,45,95,169,300,3100,Unknown,AMD,,,
1873,Intel Xeon MP 3.33,CPU,3/29/2005,90,135,,,3334,Intel,Intel,,,
1874,AMD A10-5750M,CPU,6/1/2013,32,35,246,1178,2500,Unknown,AMD,,,
1875,Intel Core 2 Quad Q9100,CPU,8/1/2008,45,45,107,,2267,Intel,Intel,,,
1876,Intel Xeon X5672,CPU,2/14/2011,32,95,239,1170,3200,Intel,Intel,,,
1877,Intel Atom Z510P,CPU,3/2/2009,45,2,26,47,1100,Intel,Intel,,,
1878,AMD EPYC 7713P,CPU,3/15/2021,7,225,,,2000,TSMC,AMD,,,
1879,AMD EPYC 7351P,CPU,6/29/2017,14,170,213,4800,2400,GF,AMD,,,
1880,Intel Core i7-3740QM,CPU,9/3/2012,22,45,160,1400,2700,Intel,Intel,,,
1881,AMD Sempron 3300+,CPU,1/1/2001,130,62,101,63,2200,Unknown,AMD,,,
1882,AMD Athlon XP 1500+,CPU,10/9/2001,180,60,150,63,1333,Unknown,AMD,,,
1883,Intel Core i5-3610ME,CPU,6/1/2012,22,35,118,,2700,Intel,Intel,,,
1884,Intel Celeron G1820T,CPU,12/1/2013,22,54,177,1400,2400,Intel,Intel,,,
1885,Intel Xeon Phi 3120P,CPU,6/17/2013,22,300,350,5000,1100,Intel,Intel,,,
1886,AMD Sempron X2 2300,CPU,3/1/2008,65,65,118,221,2200,Unknown,AMD,,,
1887,AMD Opteron X2 865,CPU,9/26/2005,90,95,,233,1800,Unknown,AMD,,,
1888,Intel Xeon E3-1220,CPU,4/3/2011,32,80,216,1160,3100,Intel,Intel,,,
1889,AMD A8-5500,CPU,10/2/2012,32,65,246,1178,3200,Unknown,AMD,,,
1890,AMD Phenom II X3 720,CPU,1/1/2010,45,95,258,758,2800,Unknown,AMD,,,
1891,Intel Xeon W3520,CPU,3/30/2009,45,130,263,731,2666,Intel,Intel,,,
1892,Intel Core i7-4820K,CPU,9/1/2013,22,130,257,1860,3700,Intel,Intel,,,
1893,Intel Core M-5Y10c,CPU,10/27/2014,14,5,50,,800,Intel,Intel,,,
1894,Intel Xeon E5503,CPU,3/16/2010,45,80,263,731,2000,Intel,Intel,,,
1895,AMD EPYC 7453,CPU,3/15/2021,7,225,,,2750,TSMC,AMD,,,
1896,AMD Ryzen Threadripper PRO 3975WX,CPU,7/14/2020,7,280,74,3800,3500,TSMC,AMD,,,
1897,AMD Ryzen Threadripper PRO 3945WX,CPU,7/14/2020,7,280,74,3800,4000,TSMC,AMD,,,
1898,Intel Xeon Gold 6330H,CPU,4/6/2021,14,150,,,2000,Intel,Intel,,,
1899,Intel Core i5-5257U,CPU,3/1/2015,14,28,,,2700,Intel,Intel,,,
1900,Intel Core i7-7700T,CPU,1/3/2017,14,35,,,2900,Intel,Intel,,,
1901,Intel Core i3-7320T,CPU,7/17/2017,14,35,,,3600,Intel,Intel,,,
1902,Intel Celeron G3930,CPU,1/3/2017,14,51,,,2900,Intel,Intel,,,
1903,AMD Athlon 64 X2 6400+ BE,CPU,8/20/2007,90,125,230,227,3200,Unknown,AMD,,,
1904,Intel Core i3-9320,CPU,4/23/2019,14,62,,,3700,Intel,Intel,,,
1905,Intel Core 2 Extreme QX6850,CPU,7/15/2007,65,130,143,582,3000,Intel,Intel,,,
1906,Intel Core 2 Duo E8200,CPU,1/1/2008,45,65,107,410,2667,Intel,Intel,,,
1907,Intel Xeon Platinum 8260M,CPU,12/11/2018,14,165,,8000,2400,Intel,Intel,,,
1908,AMD Opteron 844,CPU,5/18/2004,130,82,193,106,1800,Unknown,AMD,,,
1909,AMD Athlon 64 LE-1600,CPU,10/8/2007,90,45,230,227,2200,Unknown,AMD,,,
1910,AMD Athlon 64 3400+,CPU,4/27/2004,130,89,144,69,2200,Unknown,AMD,,,
1911,Intel Core i5-760,CPU,7/18/2010,45,95,296,774,2800,Intel,Intel,,,
1912,AMD Ryzen 7 PRO 2700X,CPU,9/19/2018,12,95,192,4800,3600,GF,AMD,,,
1913,AMD A6-4455M,CPU,5/15/2012,32,17,246,1178,2100,Unknown,AMD,,,
1914,Intel Pentium 4 1.3,CPU,1/3/2001,180,52,217,42,1300,Intel,Intel,,,
1915,AMD EPYC 75F3,CPU,3/15/2021,7,280,,,2950,TSMC,AMD,,,
1916,AMD EPYC 7343,CPU,3/15/2021,7,190,,,3200,TSMC,AMD,,,
1917,AMD Z-60,CPU,10/9/2012,40,5,,,1000,Unknown,AMD,,,
1918,AMD Phenom X4 9950 BE (140W),CPU,3/27/2008,65,140,285,450,2600,Unknown,AMD,,,
1919,AMD Athlon 64 X2 3800+,CPU,5/23/2006,90,89,220,154,2000,Unknown,AMD,,,
1920,AMD Ryzen Embedded V1756B,CPU,2/21/2018,14,45,210,4950,3250,GF,AMD,,,
1921,AMD Turion 64 ML-32,CPU,3/10/2005,90,35,125,114,1800,Unknown,AMD,,,
1922,Intel Xeon E5607,CPU,2/14/2011,32,80,239,1170,2266,Intel,Intel,,,
1923,AMD Ryzen 7 PRO 4750G,CPU,7/21/2020,7,65,,,3600,TSMC,AMD,,,
1924,Intel Core i3-7100,CPU,1/3/2017,14,51,,,3900,Intel,Intel,,,
1925,Intel Xeon Gold 6348H,CPU,4/6/2021,14,165,,,2300,Intel,Intel,,,
1926,AMD Sempron 180,CPU,9/1/2010,45,45,117,234,2400,Unknown,AMD,,,
1927,AMD Athlon XP 2200+,CPU,9/1/2003,130,63,,63,1800,Unknown,AMD,,,
1928,AMD Opteron 840,CPU,6/30/2003,130,85,193,106,1400,Unknown,AMD,,,
1929,AMD Athlon II X2 215,CPU,10/20/2009,45,65,117,410,2700,Unknown,AMD,,,
1930,Intel Core 2 Duo E4500,CPU,7/22/2007,65,65,111,167,2200,Intel,Intel,,,
1931,AMD EPYC 7401,CPU,6/29/2017,14,170,213,4800,2000,GF,AMD,,,
1932,AMD Athlon 64 3200+,CPU,1/1/2001,90,59,84,69,2200,Unknown,AMD,,,
1933,Intel Pentium 4 1.5,CPU,8/27/2001,180,58,217,42,1500,Intel,Intel,,,
1934,Intel Xeon L5530,CPU,8/9/2009,45,60,263,731,2400,Intel,Intel,,,
1935,Intel Core 2 Extreme X7900,CPU,8/1/2007,65,44,143,,2800,Intel,Intel,,,
1936,AMD Phenom X3 8750,CPU,4/23/2008,65,95,285,450,2400,Unknown,AMD,,,
1937,Intel Pentium 3550M,CPU,9/1/2013,22,37,118,1400,2300,Intel,Intel,,,
1938,AMD A4-5050,CPU,2/1/2014,32,15,246,1178,1500,Unknown,AMD,,,
1939,AMD Athlon 64 X2 5200+ EE,CPU,9/6/2006,90,65,220,154,2600,Unknown,AMD,,,
1940,AMD Athlon 240GE,CPU,12/21/2018,14,35,192,4800,3500,Unknown,AMD,,,
1941,Intel Core i5-2320,CPU,9/4/2011,32,95,216,1160,3000,Intel,Intel,,,
1942,Intel Celeron 2.20,CPU,11/20/2002,130,73,146,55,2200,Intel,Intel,,,
1943,Intel Core i7-10885H,CPU,4/2/2020,14,45,,,2400,Intel,Intel,,,
1944,AMD Athlon 64 4000+,CPU,10/19/2004,130,89,193,106,2400,Unknown,AMD,,,
1945,AMD Athlon X2 BE-2350,CPU,10/8/2007,65,45,126,154,2100,Unknown,AMD,,,
1946,AMD Opteron 150,CPU,8/2/2005,90,85,,106,2400,Unknown,AMD,,,
1947,AMD Athlon II X4 620e,CPU,5/3/2011,45,45,169,300,2600,Unknown,AMD,,,
1948,Intel Atom Z530P,CPU,3/2/2009,45,2,26,47,1600,Intel,Intel,,,
1949,Intel Pentium G4600,CPU,1/3/2017,14,51,,,3600,Intel,Intel,,,
1950,Intel Pentium G4520,CPU,9/1/2015,14,51,150,1400,3600,Intel,Intel,,,
1951,Intel Xeon Platinum 8256,CPU,12/11/2018,14,105,,8000,3800,Intel,Intel,,,
1952,Intel Xeon Gold 6328H,CPU,4/6/2021,14,165,,,2800,Intel,Intel,,,
1953,AMD Ryzen 7 5800X,CPU,11/5/2020,7,105,,,3800,TSMC,AMD,,,
1954,AMD Athlon 64 2650e,CPU,1/1/2009,65,15,77,122,1600,Unknown,AMD,,,
1955,AMD Phenom II X3 B77,CPU,5/11/2010,45,95,258,758,3200,Unknown,AMD,,,
1956,Intel Core i3-2350M,CPU,10/1/2011,32,35,149,624,2300,Intel,Intel,,,
1957,AMD Opteron 852,CPU,2/14/2005,90,92,,106,2600,Unknown,AMD,,,
1958,AMD Sempron 3000+,CPU,10/1/2005,90,62,84,63,1800,Unknown,AMD,,,
1959,AMD A6-5400K,CPU,10/2/2012,32,65,246,1178,3600,Unknown,AMD,,,
1960,Intel Mobile Pentium 4 HT 3.20,CPU,9/23/2003,130,76,131,55,3200,Intel,Intel,,,
1961,AMD Athlon 1000,CPU,6/5/2000,180,54,120,37,1000,Unknown,AMD,,,
1962,Intel Core i3-4370,CPU,7/21/2014,22,54,177,1400,3800,Intel,Intel,,,
1963,AMD Sempron 3300+,CPU,4/1/2005,90,62,84,63,2000,Unknown,AMD,,,
1964,Intel Atom Z600,CPU,5/4/2010,45,1,65,140,1200,Intel,Intel,,,
1965,AMD Athlon 64 X2 5000+,CPU,12/5/2006,65,65,126,154,2600,Unknown,AMD,,,
1966,AMD Sempron 3600+,CPU,5/23/2006,90,62,103,81,2000,Unknown,AMD,,,
1967,Intel Core i5-10200H,CPU,9/17/2020,14,45,,,2400,Intel,Intel,,,
1968,AMD Opteron 154,CPU,8/2/2005,90,104,,106,2800,Unknown,AMD,,,
1969,Intel Core i3-1000G1,CPU,8/1/2019,10,12,,,1100,Intel,Intel,,,
1970,Intel Xeon MP 3.33,CPU,3/29/2005,90,135,,286,3333,Intel,Intel,,,
1971,AMD Athlon 64 3800+,CPU,2/20/2007,90,62,230,227,2400,Unknown,AMD,,,
1972,Intel Core i5-11400F,CPU,3/16/2021,14,65,,,2600,Intel,Intel,,,
1973,Intel Xeon E5540,CPU,3/30/2009,45,80,263,731,2533,Intel,Intel,,,
1974,Intel Xeon 3.4,CPU,2/14/2005,90,135,169,178,3400,Intel,Intel,,,
1975,Intel Core i7-5500U,CPU,3/1/2015,14,15,,,2400,Intel,Intel,,,
1976,AMD Athlon II X3 460,CPU,5/3/2011,45,95,169,300,3400,Unknown,AMD,,,
1977,Intel Atom Z520PT,CPU,3/2/2009,45,2,26,47,1334,Intel,Intel,,,
1978,Intel Celeron G4900,CPU,4/3/2018,14,51,,,3100,Intel,Intel,,,
1979,Intel Pentium 4 2.26,CPU,1/7/2002,130,110,146,55,2261,Intel,Intel,,,
1980,Intel Celeron G530T,CPU,9/4/2011,32,35,131,504,2000,Intel,Intel,,,
1981,Intel Core i5-11500T,CPU,3/16/2021,14,35,,,1500,Intel,Intel,,,
1982,Intel Core i5-8600,CPU,2/14/2018,14,65,,,3100,Intel,Intel,,,
1983,AMD Phenom II X6 1065T,CPU,12/7/2010,45,125,346,904,2900,Unknown,AMD,,,
1984,Intel Core i5-5300U,CPU,3/1/2015,14,15,,,2300,Intel,Intel,,,
1985,Intel Core i7-3840QM,CPU,9/3/2012,22,45,160,1400,2800,Intel,Intel,,,
1986,AMD Phenom II X2 550,CPU,11/4/2009,45,80,258,758,3100,Unknown,AMD,,,
1987,Intel Xeon X5550,CPU,3/30/2009,45,95,263,731,2666,Intel,Intel,,,
1988,Intel Core i7-930,CPU,2/28/2010,45,130,263,731,2800,Intel,Intel,,,
1989,Intel Pentium G870,CPU,6/3/2012,32,65,131,504,3100,Intel,Intel,,,
1990,Intel Core i5-4440S,CPU,9/1/2013,22,65,177,1400,2800,Intel,Intel,,,
1991,Intel Xeon L5508,CPU,3/30/2009,45,38,263,731,2000,Intel,Intel,,,
1992,AMD Phenom II X4 955 (95W),CPU,4/1/2009,45,95,258,758,3200,Unknown,AMD,,,
1993,AMD Opteron X2 265 HE,CPU,8/1/2005,90,55,,233,1800,Unknown,AMD,,,
1994,AMD A8-3500M,CPU,6/14/2011,32,35,228,1178,1500,Unknown,AMD,,,
1995,Intel Pentium 4 HT 570,CPU,6/21/2004,90,115,109,125,3800,Intel,Intel,,,
1996,Intel Core i7-980X,CPU,3/16/2010,32,130,239,1170,3333,Intel,Intel,,,
1997,AMD EPYC 7513,CPU,3/15/2021,7,200,,,2600,TSMC,AMD,,,
1998,AMD Ryzen Threadripper 2950X,CPU,8/13/2018,12,180,213,19200,3500,GF,AMD,,,
1999,Intel Xeon MP 3.33,CPU,3/29/2005,90,135,,,3333,Intel,Intel,,,
2000,AMD A8-6600K,CPU,6/1/2013,32,100,246,1178,3900,Unknown,AMD,,,
2001,AMD A8-3800,CPU,6/30/2011,32,65,228,1178,2400,Unknown,AMD,,,
2002,AMD Athlon XP 3200+,CPU,1/1/2001,130,77,101,63,2200,Unknown,AMD,,,
2003,Intel Core i9-10900KF,CPU,4/30/2020,14,125,,,3700,Intel,Intel,,,
2004,AMD Athlon 64 2600+,CPU,1/1/2008,65,15,77,122,1600,Unknown,AMD,,,
2005,Intel Core i3-4360T,CPU,7/21/2014,22,35,177,1400,3200,Intel,Intel,,,
2006,Intel Xeon W3690,CPU,2/14/2011,32,130,239,1170,3466,Intel,Intel,,,
2007,Intel Xeon Platinum 8368,CPU,4/6/2021,10,270,,,2400,Intel,Intel,,,
2008,AMD Athlon 650,CPU,6/5/2000,180,38,120,37,650,Unknown,AMD,,,
2009,AMD Sempron 3100+,CPU,7/28/2004,130,62,144,63,1800,Unknown,AMD,,,
2010,AMD FX-6330,CPU,12/15/2015,32,125,315,1200,3600,Unknown,AMD,,,
2011,AMD Athlon 64 FX-53,CPU,6/1/2004,130,89,193,105,2400,Unknown,AMD,,,
2012,AMD Turion X2 Ultra ZM-86,CPU,6/1/2008,65,35,,,2400,Unknown,AMD,,,
2013,Intel Core 2 Extreme X9100,CPU,7/1/2008,45,44,107,,3067,Intel,Intel,,,
2014,Intel Xeon Gold 6338N,CPU,4/6/2021,10,185,,,2200,Intel,Intel,,,
2015,Intel Atom E645CT,CPU,11/22/2010,45,4,26,47,1000,Intel,Intel,,,
2016,Intel Core 2 Quad Q9400S,CPU,1/18/2009,45,65,82,456,2666,Intel,Intel,,,
2017,Intel Core i7-4910MQ,CPU,1/20/2014,22,47,177,1400,2900,Intel,Intel,,,
2018,Intel Atom N450,CPU,12/21/2009,45,6,66,123,1667,Intel,Intel,,,
2019,Intel Pentium G620T,CPU,5/22/2011,32,35,131,504,2200,Intel,Intel,,,
2020,AMD Athlon X4 940,CPU,7/27/2017,28,65,246,1178,3200,Unknown,AMD,,,
2021,AMD Athlon XP 1700+,CPU,10/9/2001,180,64,150,37,1467,Unknown,AMD,,,
2022,AMD Opteron 254,CPU,8/1/2005,90,92,,106,2800,Unknown,AMD,,,
2023,Intel Xeon Silver 4310T,CPU,4/6/2021,10,105,,,2300,Intel,Intel,,,
2024,Intel Core i5-8350U,CPU,8/21/2017,14,15,123,,1700,Intel,Intel,,,
2025,Intel Xeon E3-1245,CPU,4/3/2011,32,95,216,1160,3300,Intel,Intel,,,
2026,Intel Core i9-10990XE,CPU,NaT,14,380,,,4000,Intel,Intel,,,
2027,Intel Core i5-5287U,CPU,3/1/2015,14,28,,,2900,Intel,Intel,,,
2028,Intel Core 2 Solo ULV SU3300,CPU,5/1/2008,45,5,107,410,1200,Intel,Intel,,,
2029,AMD Sempron LE-1200,CPU,8/1/2007,65,45,,,2100,Unknown,AMD,,,
2030,Intel Core i5-8400H,CPU,4/2/2018,14,45,126,,2500,Intel,Intel,,,
2031,Intel Pentium 4 1.7,CPU,8/27/2001,180,64,217,42,1700,Intel,Intel,,,
